run_id,timestamp,total_time,method,degree_distribution,n_graphs,universe_homophily,universe_edge_density,homophily_range_width,density_range_width,degree_heterogeneity,edge_noise,cluster_count_factor,cluster_variance,center_variance,assignment_skewness,community_exclusivity,universe_randomness_factor,community_imbalance_range_width,degree_separation_range_width,family_n_graphs,family_node_counts_mean,family_node_counts_std,family_node_counts_min,family_node_counts_max,family_edge_counts_mean,family_edge_counts_std,family_edge_counts_min,family_edge_counts_max,family_community_counts_mean,family_community_counts_std,family_community_counts_min,family_community_counts_max,consistency_overall,consistency_pattern,consistency_fidelity,consistency_degree,signal_degree_signals_mean,signal_degree_signals_std,signal_structure_signals_mean,signal_structure_signals_std,signal_feature_signals_mean,signal_feature_signals_std,community_gcn_accuracy,community_gcn_f1_macro,community_gcn_train_time,community_gcn_success,community_sage_accuracy,community_sage_f1_macro,community_sage_train_time,community_sage_success,community_mlp_accuracy,community_mlp_f1_macro,community_mlp_train_time,community_mlp_success,community_rf_accuracy,community_rf_f1_macro,community_rf_train_time,community_rf_success
0,20250527_125125,114.30363059043884,dccc_sbm,power_law,12,0.0,0.02,0.0749080237694725,0.04753571532049581,0.7319939418114051,0.05986584841970366,0.6560186404424365,0.08643731496473929,0.09654458213061719,0.4330880728874676,0.8404460046972835,0.7080725777960455,0.010292247147901223,0.978936896513396,12,87.5,7.354137157636736,74.0,100.0,466.4166666666667,225.15456111055994,137.0,1006.0,4.25,0.4330127018922193,4.0,5.0,0.529638909941046,0.6216106885454232,0.570154590392312,0.26466399182975947,0.3446284215440562,0.10475802619718741,0.24676685992796896,0.2890723922141846,0.5162907030834663,0.09282919663571614,0.40977443609022557,0.33926686577034254,8.086150169372559,True,0.6015037593984962,0.49699548891799267,2.121702194213867,True,0.5827067669172933,0.4736675135170347,3.396510124206543,True,0.5977443609022557,0.4886349568363957,0.7750904560089111,True
1,20250527_125326,121.14155340194702,dccc_sbm,power_law,12,0.0,0.02,0.02301091327795579,0.03045332696397407,0.13339096418598828,0.02405896199653488,0.8271390558111398,0.4309773705648129,1.0024744175160583,0.2705811061417019,0.6116055297697441,0.7337482962802829,0.19747500921550293,0.8614329830400664,12,88.25,6.233311051653581,77.0,98.0,427.0,287.08767534210403,105.0,929.0,4.333333333333333,0.4714045207910316,4.0,5.0,0.49933063718217763,0.5559751787200496,0.5621256883943243,0.2604514516821401,0.3574264705882353,0.07174071225766943,0.17553067677400022,0.2046650370839055,0.2548492494956311,0.08085889364226932,0.2656826568265683,0.16300606090592454,4.899584531784058,True,0.45387453874538747,0.37512975598941073,5.4709203243255615,True,0.45387453874538747,0.3745722317455427,3.3059892654418945,True,0.42435424354243545,0.3457668466850766,0.9277260303497314,True
2,20250527_125534,127.43207859992981,dccc_sbm,power_law,12,0.0,0.07,0.1669684297331299,0.005239805218493487,0.7446404816795178,0.03605008362562857,0.8593108378080719,0.3085268065028943,0.5967315311214946,0.20453630493044933,0.8039609638358426,0.7101479933270735,0.48026311260283366,0.619634776257256,12,89.58333333333333,6.396070842495588,80.0,100.0,654.6666666666666,273.764294401021,270.0,1071.0,4.25,0.4330127018922193,4.0,5.0,0.6234417471461938,0.7209403534269447,0.7174198584945769,0.24048831188792594,0.3763840872606352,0.053424291601825664,0.27133289863882365,0.26828061332264164,0.38314781720069885,0.05638844517551266,0.5551330798479087,0.38662100901686747,9.47425389289856,True,0.6311787072243346,0.4968655801238796,7.106631278991699,True,0.5893536121673004,0.5832456462398351,4.453798055648804,True,0.5703422053231939,0.5622542109388895,0.8634965419769287,True
3,20250527_125739,125.35809803009033,dccc_sbm,power_law,12,0.0,0.07,0.19780230269512003,0.027477236342236273,0.28144730195506285,0.007728956607917271,0.9444694959718031,0.2416759051801878,0.08229778135060434,0.08166222410413337,0.6463802845991777,0.627391682704426,0.4280910242978122,0.7550716947612868,12,89.83333333333333,4.46902922593064,80.0,95.0,629.0,221.09650984732136,287.0,913.0,4.083333333333333,0.27638539919628335,4.0,5.0,0.5528661356536048,0.6307017265649577,0.6041835695020047,0.2945600861340991,0.4062113003095975,0.067927347112537,0.13039134451515014,0.11082784132824759,0.4279278098873008,0.061596628236823395,0.5304659498207885,0.37898966116751953,7.391901016235352,True,0.5340501792114696,0.5214216095795043,3.477351188659668,True,0.5985663082437276,0.5907976977929718,1.2692172527313232,True,0.5483870967741935,0.5426227657822749,0.8932983875274658,True
4,20250527_125947,127.34867310523987,dccc_sbm,power_law,12,0.0,0.12000000000000001,0.15676647016115014,0.03174168530263651,0.24904309151574888,0.07580758646498177,0.8130769356316798,0.4692463051693148,0.07386951804487323,0.22043360171490223,0.9650889159740791,0.4550039189267788,0.2539671703518958,0.3594355683562901,12,89.16666666666667,6.618576550554928,80.0,100.0,935.0833333333334,254.90764939919364,507.0,1296.0,4.583333333333333,0.4930066485916347,4.0,5.0,0.6575109365583607,0.7410814094343662,0.7532215333589344,0.298948797205202,0.37666430168558657,0.09472768678729332,0.293651182144527,0.2784367340041529,0.33573272111405456,0.08031510765061345,0.5451127819548872,0.5290320322480278,11.130006551742554,True,0.6127819548872181,0.578912469644177,2.3476157188415527,True,0.5075187969924813,0.4745612036883785,3.50089693069458,True,0.4699248120300752,0.3850268833043366,0.8935158252716064,True
5,20250527_130145,118.669917345047,dccc_sbm,power_law,12,0.0,0.12000000000000001,0.022697694378729906,0.048724154721822836,0.7287346335011062,0.03514678058927014,1.2076051382590811,0.4018062548134264,0.9718871632173558,0.20729980359408318,0.8824124045092037,0.2466493817746419,0.12799621564898117,0.31680794790175265,12,92.0,5.6421036266035856,82.0,99.0,878.9166666666666,237.38416765984113,524.0,1378.0,4.5,0.5,4.0,5.0,0.6246298567942824,0.7209080230247963,0.7113124059129974,0.25870842609582434,0.3740074246072698,0.07797469801944114,0.18936830603151325,0.2286543793445791,0.3332572644885596,0.07551894296774789,0.4416961130742049,0.3506937844234202,5.927913427352905,True,0.568904593639576,0.5426785139708351,3.6852519512176514,True,0.5477031802120141,0.5308724511856849,2.153430938720703,True,0.5265017667844523,0.4837086908510108,0.8665509223937988,True
6,20250527_130347,122.05001544952393,dccc_sbm,power_law,12,0.0,0.17,0.0034980541862305262,0.04457866335901292,0.2848611674739183,0.02989763774589579,1.2920342606554294,0.16899059276433212,1.298418476168485,0.22375631610693708,0.8192919625400377,0.3571719948299895,0.056156012696354896,0.399328008393808,12,90.08333333333333,4.662944944512594,83.0,98.0,968.0833333333334,261.14920969097767,523.0,1575.0,4.25,0.4330127018922193,4.0,5.0,0.6889368039762512,0.8103866278532252,0.8202368723145019,0.18343701954580194,0.3856217750257998,0.0875890440206267,0.30830386008446636,0.19817511994485357,0.4571714958237314,0.10616791853605179,0.4749034749034749,0.3776454131948637,7.629716873168945,True,0.6795366795366795,0.5650035009038281,2.5225327014923096,True,0.6911196911196911,0.5759539466473773,2.773249864578247,True,0.6023166023166023,0.5030055137844611,0.9265670776367188,True
7,20250527_130550,122.70232653617859,dccc_sbm,power_law,12,0.0,0.17,0.06019289117118292,0.012353091598090721,0.9263351350591756,0.0891603438277764,1.183276759974987,0.2877734831548394,0.8249791615621173,0.10521191799338292,0.9079017872741743,0.8962301009569733,0.3608252282829858,0.6491462449357861,12,91.66666666666667,6.53622385037586,80.0,100.0,1129.25,312.0809523718699,565.0,1671.0,4.666666666666667,0.4714045207910317,4.0,5.0,0.5754197160375875,0.6444704332464366,0.6697214835161011,0.248714746662862,0.32639727382180944,0.07878564171317749,0.18466801165028923,0.29413406455693475,0.38516164070856823,0.04839449240132777,0.47388059701492535,0.4291259597781735,6.145490407943726,True,0.582089552238806,0.5658583885655739,2.6166670322418213,True,0.6417910447761194,0.6326884459844417,3.938091278076172,True,0.5261194029850746,0.48538602667925906,0.8926646709442139,True
8,20250527_130747,116.87308526039124,dccc_sbm,power_law,12,0.2,0.02,0.09892032910760429,0.011404155222466811,0.25547392375721134,0.039632990972277696,0.877315097691124,0.49832137277577815,0.6182138284964637,0.3859469974198568,0.9042146752035537,0.31000934868533203,0.17327060228134866,0.5462353722475937,12,89.5,9.810708435174291,64.0,98.0,493.3333333333333,207.9023542168027,94.0,799.0,4.333333333333333,0.4714045207910316,4.0,5.0,0.5049290094557175,0.47187243102192333,0.6023695043795348,0.37616117647567093,0.3693892891164563,0.09566708211852591,0.1916401195310299,0.44740105450457557,0.38787996060408525,0.11335429462503802,0.3908450704225352,0.3505046372067649,8.678500652313232,True,0.5176056338028169,0.4067411862381792,4.356747150421143,True,0.5669014084507042,0.5621738516574883,1.5562317371368408,True,0.528169014084507,0.5221196363067648,0.8487000465393066,True
9,20250527_130933,106.02028775215149,dccc_sbm,power_law,12,0.2,0.02,0.13514628310071047,0.002235609110147302,0.3433036725425923,0.0644019727019831,0.7842129987402895,0.4751755252585025,0.2449285514729083,0.19398648121138118,0.8359974705889257,0.48779579131284057,0.08717169301206062,0.45272779282824743,11,92.81818181818181,6.364934932441563,78.0,100.0,432.6363636363636,256.1385536729798,170.0,914.0,4.454545454545454,0.49792959773196915,4.0,5.0,0.6080340400206913,0.5604310303903319,0.7366463834396683,0.4460153724434557,0.46084130781499194,0.08780384200018596,0.05206454965757828,0.029827618545898358,0.2755416446499081,0.08010351261520474,0.3460207612456747,0.336012583026549,5.855823040008545,True,0.36678200692041524,0.31620419518388215,2.9423341751098633,True,0.3633217993079585,0.31171844764791656,4.144625663757324,True,0.314878892733564,0.2775792328106849,0.7760491371154785,True
10,20250527_131122,108.91615772247314,dccc_sbm,power_law,12,0.2,0.07,0.1646220681419584,0.0013058990784933667,0.21077063993129397,0.061842176934961024,0.5982844653368992,0.31386434183966083,0.09029642720168118,0.48032702890211926,0.9921717496860294,0.5211276502712239,0.3182766724177739,0.835329863788475,12,90.25,5.261891294962297,82.0,100.0,625.4166666666666,261.804462125627,376.0,1414.0,4.333333333333333,0.4714045207910316,4.0,5.0,0.46758811919505405,0.4510455188991645,0.5940547566993548,0.24774004477823156,0.43503167641325535,0.060034080258988286,0.07474676632744266,0.036367840033046314,0.30534831764802256,0.09224865035516557,0.38257575757575757,0.2696926880960791,3.054980516433716,True,0.3939393939393939,0.29657386174273304,3.090257406234741,True,0.42045454545454547,0.33764182317356434,5.025437593460083,True,0.39015151515151514,0.3456072145957777,0.915226936340332,True
11,20250527_131318,116.17929816246033,dccc_sbm,power_law,12,0.2,0.07,0.16933248144202678,0.028058277013251712,0.45487540240575286,0.03521749136919618,1.0858513841348372,0.2725173746938071,1.2429098524012256,0.13227109936101722,0.7913516245354864,0.3477850228457219,0.06723916115448686,0.4819841452401414,11,90.18181818181819,7.395553723422815,78.0,100.0,483.0,148.35461202500886,222.0,781.0,4.363636363636363,0.4810456929208346,4.0,5.0,0.6148386274805869,0.6911387923916464,0.6425831772984251,0.4067491980227916,0.37984512305719736,0.07691778860214436,0.07698325246571723,0.04144139007319996,0.40122933959797175,0.1000778199435219,0.4810606060606061,0.3572736630152898,5.096019744873047,True,0.5340909090909091,0.4488990700849004,2.1095945835113525,True,0.6212121212121212,0.5060359192697914,3.4649577140808105,True,0.5378787878787878,0.4895804608700452,0.817612886428833,True
12,20250527_131513,114.63312864303589,dccc_sbm,power_law,12,0.2,0.12000000000000001,0.08403659342815478,0.01816197484825428,0.18487668776145172,0.05182827281674762,0.5086054520087693,0.4847787412925482,1.2040580714645268,0.3786559943043272,0.8685937207367296,0.02965700882492317,0.19578101499016576,0.5833558272976443,12,91.25,7.1545440106270926,80.0,98.0,739.0833333333334,242.80048679705914,461.0,1204.0,4.416666666666667,0.4930066485916346,4.0,5.0,0.41063358367818514,0.2900973385554763,0.5581433218943787,0.35668659749121545,0.37814728815502807,0.07573515395285835,0.055473993663980974,0.055789389700491875,0.26834602088085063,0.08028483754536027,0.2572463768115942,0.22111379512477852,4.458971261978149,True,0.322463768115942,0.251984007996002,2.9347774982452393,True,0.34057971014492755,0.2739839946509538,3.7812135219573975,True,0.32971014492753625,0.24712583803214544,0.9825973510742188,True
