experiment_id,combination,repeat,timestamp,num_communities,num_nodes,feature_dim,edge_density,homophily,feature_signal,randomness_factor,min_connection_strength,min_component_size,indirect_influence,node_count,edge_count,density,avg_degree,clustering_coefficient,triangle_count,triangle_density,power_law_exponent,connected_components,largest_component_size,avg_communities_per_node,intra_community_density,inter_community_density,empirical_homophily,GCN_accuracy,GCN_train_time,GCN_metrics_macro_precision,GCN_metrics_macro_recall,GCN_metrics_macro_f1,GCN_metrics_weighted_precision,GCN_metrics_weighted_recall,GCN_metrics_weighted_f1,GCN_final_train_loss,GCN_final_val_loss,GCN_best_val_acc,GCN_epochs_trained,GCN_best_val_score,GCN_n_trials,GCN_param_lr,GCN_param_weight_decay,GCN_param_dropout,GCN_param_hidden_dim,GCN_param_num_layers,GCN_param_residual,GCN_param_norm_type,GCN_param_agg_type,GCN_param_patience,SAGE_accuracy,SAGE_train_time,SAGE_metrics_macro_precision,SAGE_metrics_macro_recall,SAGE_metrics_macro_f1,SAGE_metrics_weighted_precision,SAGE_metrics_weighted_recall,SAGE_metrics_weighted_f1,SAGE_final_train_loss,SAGE_final_val_loss,SAGE_best_val_acc,SAGE_epochs_trained,SAGE_best_val_score,SAGE_n_trials,SAGE_param_lr,SAGE_param_weight_decay,SAGE_param_dropout,SAGE_param_hidden_dim,SAGE_param_num_layers,SAGE_param_residual,SAGE_param_norm_type,SAGE_param_agg_type,SAGE_param_patience,MLP_accuracy,MLP_train_time,MLP_metrics_macro_precision,MLP_metrics_macro_recall,MLP_metrics_macro_f1,MLP_metrics_weighted_precision,MLP_metrics_weighted_recall,MLP_metrics_weighted_f1,MLP_final_train_loss,MLP_final_val_loss,MLP_best_val_acc,MLP_epochs_trained,MLP_best_val_score,MLP_n_trials,MLP_param_lr,MLP_param_weight_decay,MLP_param_dropout,MLP_param_hidden_dim,MLP_param_num_layers,MLP_param_patience,RandomForest_accuracy,RandomForest_train_time,RandomForest_metrics_macro_precision,RandomForest_metrics_macro_recall,RandomForest_metrics_macro_f1,RandomForest_metrics_weighted_precision,RandomForest_metrics_weighted_recall,RandomForest_metrics_weighted_f1,RandomForest_best_val_score,RandomForest_n_trials,RandomForest_param_n_estimators,RandomForest_param_max_depth,RandomForest_param_min_samples_split,RandomForest_param_min_samples_leaf,RandomForest_param_max_features
0_0,0,0,20250501_121842,11,110,32,0.08626999939783411,0.17,0.0,0.650467376391766,0.055041319578430864,10,0.0,110,300,0.05004170141784821,5.454545454545454,0.043124653124653134,26.0,0.00012047076267259754,0.07880532081332726,1,110,1.0,0.0967741935483871,0.045537673738112655,0.36002984703395097,0.09090909361839294,1.4123880863189697,0.1125,0.15,0.08888888888888888,0.09659090909090909,0.09090909090909091,0.0707070707070707,0.060323819518089294,5.819451808929443,0.3636363744735718,167,0.3181818127632141,20,0.00853618986286683,0.0004138040112561013,0.2523068845866854,32,2,False,batch,sum,98,0.13636364042758942,0.6331925392150879,0.10160427807486631,0.1212121212121212,0.0645933014354067,0.14705882352941177,0.13636363636363635,0.08732057416267942,1.4426112174987793,2.66827654838562,0.13636364042758942,98,0.1818181872367859,20,0.0011207606211860567,7.309539835912905e-05,0.24561457009902096,16,2,True,batch,mean,97,0.0,0.1510334014892578,0.0,0.0,0.0,0.0,0.0,0.0,0.4077396094799042,2.90720534324646,0.1818181872367859,35,0.22727273404598236,20,0.007767353816237063,0.00013454010047783628,0.25384710572513136,32,2,32,0.0,0.11189389228820801,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,20,72,6,2,4,
0_1,0,1,20250501_121917,5,76,32,0.11051425178906932,0.3434343434343434,0.0,0.05282464448413671,0.0859957543568446,9,0.0,76,198,0.06947368421052631,5.2105263157894735,0.052046783625731,18.0,0.0002560455192034139,-0.1699068708297918,1,76,1.0,0.10625,0.058823529411764705,0.2873051224944321,0.25,0.8734803199768066,0.16666666666666666,0.2333333333333333,0.18603174603174605,0.1875,0.25,0.20476190476190476,0.026204675436019897,5.5435075759887695,0.46666669845581055,104,0.5333333611488342,20,0.009546554002261136,0.0002733762389478881,0.3792623653896452,128,2,True,none,max,58,0.25,0.46246767044067383,0.2863636363636364,0.2333333333333333,0.18714285714285714,0.34659090909090906,0.25,0.21607142857142858,0.0031873146072030067,3.1863205432891846,0.40000003576278687,70,0.6000000238418579,20,0.003996190168852754,2.674701807186938e-05,0.3384271082446902,128,2,False,layer,sum,65,0.25,0.4981040954589844,0.14285714285714285,0.25,0.13725490196078433,0.16517857142857142,0.25,0.14950980392156862,0.008973898366093636,4.354565143585205,0.3333333432674408,104,0.5333333611488342,20,0.0021137059440645744,4.201672054372529e-05,0.3600340105889054,64,3,93,0.375,0.2494487762451172,0.3833333333333333,0.35,0.2742857142857143,0.46354166666666663,0.375,0.3178571428571429,0.3333333333333333,20,230,16,8,4,sqrt
1_0,1,0,20250501_121946,10,106,32,0.1255833463480577,0.08583690987124463,0.0,0.8660231906806247,0.08804093215816534,5,0.0,106,699,0.12560646900269543,13.18867924528302,0.1282547480311787,383.0,0.001985278872071325,0.6627767098881938,1,106,1.0,0.11278195488721804,0.12696205046691833,-0.05914682020413504,0.04545454680919647,0.8904423713684082,0.1,0.05,0.06666666666666667,0.09090909090909091,0.045454545454545456,0.0606060606060606,1.9640960693359375,2.513718605041504,0.1428571492433548,104,0.2380952388048172,20,0.0011207606211860567,7.309539835912905e-05,0.24561457009902096,16,2,True,batch,mean,97,0.09090909361839294,0.6253604888916016,0.05714285714285714,0.15,0.06333333333333332,0.0487012987012987,0.09090909090909091,0.051515151515151514,0.06265731155872345,4.361338138580322,0.190476194024086,74,0.3333333432674408,20,0.005521745700187837,0.0001414331180179695,0.3881018569659319,32,3,False,none,sum,58,0.04545454680919647,0.4558224678039551,0.01111111111111111,0.05,0.01818181818181818,0.0101010101010101,0.045454545454545456,0.016528925619834708,0.11235524713993073,3.714871644973755,0.190476194024086,94,0.3333333432674408,20,0.0021137059440645744,4.201672054372529e-05,0.3600340105889054,64,3,93,0.09090909090909091,0.1602027416229248,0.026250000000000002,0.2,0.04509803921568628,0.011931818181818182,0.09090909090909091,0.020499108734402856,0.14285714285714285,20,144,20,8,6,sqrt
1_1,1,1,20250501_122023,6,155,32,0.0689760368930241,0.16487455197132617,0.0,0.6958883576785689,0.09661632856051898,9,0.0,155,837,0.07012987012987013,10.8,0.06739570343435315,202.0,0.0003318629504587759,0.3329870458572373,1,155,1.0,0.0705521472392638,0.07004709890770618,0.003592112656348774,0.06451612710952759,2.3796041011810303,0.041666666666666664,0.1111111111111111,0.05714285714285714,0.03225806451612903,0.06451612903225806,0.040552995391705066,1.6703050136566162,1.8473517894744873,0.25806450843811035,207,0.29032257199287415,20,0.00014096175149815865,0.0009413993046829941,0.4861223846483287,64,3,True,layer,mean,52,0.22580644488334656,0.6269741058349609,0.06666666666666667,0.1984126984126984,0.09971509971509972,0.0774193548387097,0.22580645161290322,0.11524676040805072,1.7311387062072754,1.7646284103393555,0.29032257199287415,77,0.4193548262119293,20,0.0004470608546778491,0.0002878805718308924,0.4187787356776066,16,3,False,batch,sum,75,0.06451612710952759,0.37140965461730957,0.07936507936507936,0.05158730158730159,0.058974358974358966,0.10291858678955453,0.06451612903225806,0.0749379652605459,1.0538742542266846,1.8211359977722168,0.25806450843811035,87,0.4516128897666931,20,0.0008336157877827504,0.00033321033336416837,0.5568012929702318,128,2,54,0.12903225806451613,0.27800846099853516,0.25277777777777777,0.15343915343915343,0.11130952380952382,0.39032258064516123,0.12903225806451613,0.13663594470046084,0.3225806451612903,20,139,8,6,2,
2_0,2,0,20250501_122045,10,78,32,0.05843241806258928,0.1270718232044199,0.0,0.6923409439126125,0.03628427649419767,5,0.0,78,181,0.06027306027306027,4.641025641025641,0.05425315425315425,17.0,0.00022346074977653925,0.30678830358978454,1,78,1.0,0.08214285714285714,0.05802423797282409,0.17207047881050627,0.05882352963089943,0.6128146648406982,0.03333333333333333,0.1,0.05,0.0196078431372549,0.058823529411764705,0.029411764705882353,1.98605477809906,2.317124128341675,0.2666666805744171,55,0.2666666805744171,20,0.00012150104649007403,1.028002961790561e-05,0.10377365965814661,128,3,False,batch,max,33,0.05882352963089943,0.6898674964904785,0.007692307692307693,0.1,0.014285714285714287,0.004524886877828055,0.058823529411764705,0.008403361344537816,2.1167948246002197,2.325613260269165,0.13333334028720856,84,0.3333333432674408,20,0.00023428098141543155,0.00016211240772715297,0.19262986969204232,32,3,False,layer,mean,80,0.11764705926179886,0.44454479217529297,0.125,0.15,0.10666666666666666,0.1323529411764706,0.11764705882352941,0.10196078431372549,0.0291460994631052,4.3693108558654785,0.2666666805744171,94,0.3333333432674408,20,0.0021137059440645744,4.201672054372529e-05,0.3600340105889054,64,3,93,0.11764705882352941,0.09537148475646973,0.13333333333333333,0.1,0.10666666666666666,0.1568627450980392,0.11764705882352941,0.12549019607843137,0.2,20,72,6,2,4,
2_1,2,1,20250501_122111,12,138,32,0.05412611855465073,0.09724770642201835,0.0,0.12188921208035897,0.06682087004078772,7,0.0,138,545,0.057653654924362634,7.898550724637682,0.06026123634819284,75.0,0.00017501446786267664,-0.49011852893239966,1,138,1.0,0.066167290886392,0.056865464632454926,0.07560446983984002,0.13793103396892548,0.782963752746582,0.10357142857142856,0.12738095238095237,0.10612244897959185,0.14655172413793102,0.13793103448275862,0.1330049261083744,1.3083375692367554,3.3656277656555176,0.14814814925193787,134,0.25925925374031067,20,0.0035503048581283078,0.0007568292060167617,0.5474136752138244,32,1,False,batch,sum,86,0.10344827175140381,0.7081913948059082,0.051515151515151514,0.08333333333333333,0.06363636363636363,0.06436781609195402,0.10344827586206896,0.0793103448275862,0.4130149483680725,3.178396463394165,0.18518519401550293,107,0.2222222238779068,20,0.0021854548926444764,0.0005321751795725047,0.4219106892035168,32,2,False,batch,sum,100,0.10344827175140381,0.3234727382659912,0.10416666666666667,0.13888888888888887,0.11363636363636365,0.0603448275862069,0.10344827586206896,0.07210031347962383,0.3793448805809021,3.8308944702148438,0.2222222238779068,73,0.2222222238779068,20,0.007767353816237063,0.00023367493808810797,0.25384710572513136,16,2,70,0.0,0.0920100212097168,0.0,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,20,58,19,4,7,
3_0,3,0,20250501_122139,15,105,32,0.08563416106290343,0.08771929824561403,0.0,0.5367186274062181,0.04028961353071915,6,0.0,104,456,0.08513816280806571,8.76923076923077,0.2164617722208348,340.0,0.0018670649738610904,0.7316661590759277,1,104,1.0,0.10638297872340426,0.08353413654618475,0.12030954737694591,0.04545454680919647,0.7070207595825195,0.020833333333333332,0.041666666666666664,0.027777777777777776,0.022727272727272728,0.045454545454545456,0.0303030303030303,2.5626206398010254,2.814974308013916,0.05000000074505806,62,0.30000001192092896,20,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,False,batch,mean,51,0.09090909361839294,0.4091370105743408,0.02056277056277056,0.09090909090909091,0.03318903318903319,0.02056277056277056,0.09090909090909091,0.03318903318903319,0.14327074587345123,3.9598135948181152,0.10000000149011612,61,0.25,20,0.001938319983581959,3.643526297879779e-05,0.3792623653896452,128,2,True,none,max,58,0.0,0.21388864517211914,0.0,0.0,0.0,0.0,0.0,0.0,2.1612966060638428,2.8620667457580566,0.05000000074505806,45,0.20000000298023224,20,0.0005170191786366995,3.646439558980719e-05,0.37134804157912427,128,3,44,0.045454545454545456,0.10503101348876953,0.006993006993006993,0.045454545454545456,0.012121212121212123,0.006993006993006993,0.045454545454545456,0.012121212121212123,0.1,20,85,8,5,5,sqrt
3_1,3,1,20250501_122215,13,61,32,0.029345195970786473,0.14285714285714285,0.0,0.26832606896433864,0.0800863355121949,4,0.0,49,56,0.047619047619047616,2.2857142857142856,0.03401360544217687,1.0,5.427702996092054e-05,2.2814636921712257,1,49,1.0,0.0784313725490196,0.0446927374301676,0.27402135231316727,0.09090909361839294,1.0305767059326172,0.014285714285714285,0.1,0.025,0.012987012987012986,0.09090909090909091,0.022727272727272728,2.185878276824951,2.57049298286438,0.0,93,0.3333333432674408,20,0.00014096175149815865,0.0009413993046829941,0.4861223846483287,64,3,True,layer,mean,52,0.09090909361839294,2.272381544113159,0.0125,0.125,0.022727272727272728,0.009090909090909092,0.09090909090909091,0.01652892561983471,1.6993685960769653,2.3572092056274414,0.2222222238779068,236,0.4444444477558136,20,0.00014096175149815865,0.0009413993046829941,0.4861223846483287,64,3,True,layer,mean,52,0.1818181872367859,1.467500925064087,0.14814814814814814,0.16666666666666666,0.12962962962962962,0.21212121212121213,0.18181818181818182,0.16666666666666666,1.8966383934020996,2.4906983375549316,0.0,300,0.3333333432674408,20,0.0002685646196715114,0.0009635836112341379,0.4923863053977552,16,2,55,0.09090909090909091,0.15999269485473633,0.013888888888888888,0.125,0.024999999999999998,0.0101010101010101,0.09090909090909091,0.01818181818181818,0.0,20,144,20,8,6,sqrt
4_0,4,0,20250501_122248,7,64,32,0.1190768506585422,0.199203187250996,0.0,0.9361765641665052,0.033982502789994706,10,0.0,64,251,0.12450396825396826,7.84375,0.13903301559551562,86.0,0.002064132104454685,0.5928654817652075,1,64,1.0,0.18050541516245489,0.11558366877515813,0.21926423468207287,0.2857142984867096,1.2001466751098633,0.2619047619047619,0.21428571428571427,0.22448979591836737,0.32142857142857145,0.2857142857142857,0.2891156462585034,0.10498768091201782,2.4903323650360107,0.4166666865348816,131,0.5833333730697632,20,0.00853618986286683,0.0004138040112561013,0.2523068845866854,32,2,False,batch,sum,98,0.2857142984867096,0.7412149906158447,0.14285714285714285,0.19047619047619047,0.15873015873015875,0.21428571428571427,0.2857142857142857,0.23809523809523808,0.06959390640258789,3.1340694427490234,0.1666666716337204,148,0.5,20,0.005185399960266278,1.558613754560023e-05,0.28209878978727376,32,1,False,batch,sum,92,0.2142857313156128,0.30277442932128906,0.05357142857142857,0.14285714285714285,0.07792207792207792,0.08035714285714286,0.21428571428571427,0.11688311688311688,1.9088155031204224,1.9757018089294434,0.1666666716337204,58,0.4166666865348816,20,0.00023831521082639457,2.8668514168321042e-05,0.2942089846446192,16,3,57,0.21428571428571427,0.32602787017822266,0.07142857142857142,0.23809523809523808,0.10430839002267574,0.08333333333333334,0.21428571428571427,0.11564625850340136,0.25,20,277,14,9,1,sqrt
4_1,4,1,20250501_122320,7,72,32,0.14793163031564685,0.21052631578947367,0.0,0.2922489567393879,0.048363856706288594,8,0.0,72,380,0.1486697965571205,10.555555555555555,0.15580563883904955,213.0,0.0035714285714285713,0.7692840311269898,1,72,1.0,0.22160664819944598,0.1366742596810934,0.2370553011623811,0.13333334028720856,1.471402645111084,0.11904761904761904,0.14285714285714285,0.1285714285714286,0.1111111111111111,0.13333333333333333,0.12000000000000001,1.423160433769226,2.010904312133789,0.2857142984867096,157,0.3571428656578064,20,0.0011207606211860567,7.309539835912905e-05,0.24561457009902096,16,2,True,batch,mean,97,0.20000001788139343,0.7230288982391357,0.14444444444444446,0.13095238095238096,0.11428571428571428,0.3377777777777778,0.2,0.2247619047619048,4.625967631000094e-05,4.916938781738281,0.2142857313156128,105,0.5,20,0.009816172010542405,3.643526297879779e-05,0.2270700667689584,128,2,True,batch,sum,100,0.06666667014360428,0.2494184970855713,0.03333333333333333,0.08333333333333333,0.04761904761904762,0.02666666666666667,0.06666666666666667,0.0380952380952381,0.02641133964061737,3.396352767944336,0.2857142984867096,54,0.4285714626312256,20,0.007767353816237063,0.00013454010047783628,0.25384710572513136,32,2,32,0.06666666666666667,0.12152719497680664,0.03333333333333333,0.08333333333333333,0.04761904761904762,0.02666666666666667,0.06666666666666667,0.0380952380952381,0.21428571428571427,20,96,20,8,10,
