experiment_id,combination,repeat,timestamp,num_communities,num_nodes,feature_dim,edge_density,homophily,randomness_factor,min_connection_strength,min_component_size,indirect_influence,regimes_per_community,intra_community_regime_similarity,inter_community_regime_similarity,feature_regime_balance,node_count,edge_count,density,avg_degree,clustering_coefficient,triangle_count,triangle_density,power_law_exponent,connected_components,largest_component_size,avg_communities_per_node,intra_community_density,inter_community_density,empirical_homophily,regime_GCN_accuracy,regime_GCN_train_time,regime_GCN_metrics_macro_precision,regime_GCN_metrics_macro_recall,regime_GCN_metrics_macro_f1,regime_GCN_metrics_weighted_precision,regime_GCN_metrics_weighted_recall,regime_GCN_metrics_weighted_f1,regime_GCN_final_train_loss,regime_GCN_final_val_loss,regime_GCN_best_val_acc,regime_GCN_epochs_trained,regime_GCN_best_val_score,regime_GCN_n_trials,regime_GCN_param_lr,regime_GCN_param_weight_decay,regime_GCN_param_dropout,regime_GCN_param_hidden_dim,regime_GCN_param_num_layers,regime_GCN_param_residual,regime_GCN_param_norm_type,regime_GCN_param_agg_type,regime_GCN_param_patience,regime_MLP_accuracy,regime_MLP_train_time,regime_MLP_metrics_macro_precision,regime_MLP_metrics_macro_recall,regime_MLP_metrics_macro_f1,regime_MLP_metrics_weighted_precision,regime_MLP_metrics_weighted_recall,regime_MLP_metrics_weighted_f1,regime_MLP_final_train_loss,regime_MLP_final_val_loss,regime_MLP_best_val_acc,regime_MLP_epochs_trained,regime_MLP_best_val_score,regime_MLP_n_trials,regime_MLP_param_lr,regime_MLP_param_weight_decay,regime_MLP_param_dropout,regime_MLP_param_hidden_dim,regime_MLP_param_num_layers,regime_MLP_param_patience,regime_RandomForest_accuracy,regime_RandomForest_train_time,regime_RandomForest_metrics_macro_precision,regime_RandomForest_metrics_macro_recall,regime_RandomForest_metrics_macro_f1,regime_RandomForest_metrics_weighted_precision,regime_RandomForest_metrics_weighted_recall,regime_RandomForest_metrics_weighted_f1,regime_RandomForest_best_val_score,regime_RandomForest_n_trials,regime_RandomForest_param_n_estimators,regime_RandomForest_param_max_depth,regime_RandomForest_param_min_samples_split,regime_RandomForest_param_min_samples_leaf,regime_RandomForest_param_max_features
0_0,0,0,20250502_181553,15,158,32,0.0885676090109395,0.11398963730569948,0.4856964016154296,0.08694947737151862,2,0.0,2,0.3045949955790449,0.9967944463299593,0.10376772149137628,158,579,0.046682254293316135,7.329113924050633,0.06178322380854021,91.0,0.00014109489639603322,0.15895704927960286,1,158,1.0,0.0812807881773399,0.044258476404106635,0.29490623428986373,0.696969747543335,3.4864072799682617,0.17424242424242425,0.25,0.20535714285714288,0.4857667584940312,0.696969696969697,0.5725108225108226,0.8822824358940125,0.8571690917015076,0.7419354915618896,300,0.774193525314331,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,False,batch,mean,51,0.696969747543335,1.5178420543670654,0.17424242424242425,0.25,0.20535714285714288,0.4857667584940312,0.696969696969697,0.5725108225108226,0.7165620923042297,0.9105121493339539,0.7419354915618896,300,0.7419354915618896,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,0.696969696969697,0.1586322784423828,0.17424242424242425,0.25,0.20535714285714288,0.4857667584940312,0.696969696969697,0.5725108225108226,0.7419354838709677,15,144,20,8,6,sqrt
1_0,1,0,20250502_181622,6,137,32,0.14682932611178892,0.1733723482077542,0.640972077345332,0.030601973819347875,7,0.0,2,0.39743861723227086,0.9847392440939059,0.7634659241130269,137,1367,0.14673679690854444,19.956204379562045,0.14720040248518815,1306.0,0.0031153093840942704,-0.024455430365638416,1,137,1.0,0.15695364238410597,0.14476044068665128,0.04041310095092634,0.4642857313156128,0.9553947448730469,0.16266666666666665,0.2246153846153846,0.1763157894736842,0.28238095238095234,0.4642857142857143,0.337875939849624,0.4892502725124359,1.5357797145843506,0.5555555820465088,110,0.6666666865348816,15,0.00853618986286683,0.0004138040112561013,0.2523068845866854,32,2,False,batch,sum,98,0.4642857313156128,0.4645051956176758,0.09285714285714286,0.2,0.12682926829268293,0.21556122448979592,0.4642857142857143,0.29442508710801396,0.019853387027978897,3.080225706100464,0.5555555820465088,97,0.5925925970077515,15,0.0010677482709481358,0.00015304852121831474,0.12322520635999887,128,3,87,0.4642857142857143,0.16443872451782227,0.09285714285714286,0.2,0.12682926829268293,0.21556122448979592,0.4642857142857143,0.29442508710801396,0.5555555555555556,15,144,20,8,6,sqrt
2_0,2,0,20250502_181647,10,96,32,0.08579351432671511,0.11944444444444445,0.9320143422569341,0.06751064780463191,7,0.0,1,0.3443624793309374,0.9984940348584918,0.3578830759797784,95,360,0.08062709966405375,7.578947368421052,0.2128879492037387,281.0,0.002030126792616407,0.8174674426838012,1,95,1.0,0.1016548463356974,0.07842652152399802,0.12898794077240108,0.7368420958518982,0.5571448802947998,0.8529411764705883,0.6428571428571428,0.6360153256704981,0.8142414860681114,0.7368421052631579,0.6864287154668279,0.5041369199752808,2.007798194885254,0.6842105388641357,63,0.7368420958518982,15,0.009191191756934065,9.582057303202362e-05,0.3792623653896452,32,2,False,layer,sum,58,0.6315789222717285,1.487962245941162,0.3157894736842105,0.5,0.3870967741935484,0.39889196675900274,0.631578947368421,0.4889643463497453,0.6953063011169434,1.103655219078064,0.6315789222717285,300,0.6315789222717285,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,0.631578947368421,0.14506316184997559,0.3157894736842105,0.5,0.3870967741935484,0.39889196675900274,0.631578947368421,0.4889643463497453,0.6842105263157895,15,95,6,4,6,
3_0,3,0,20250502_181714,7,104,32,0.1200340813149518,0.1735668789808917,0.18704374855752337,0.05403491508931334,2,0.0,3,0.7950610669511111,0.9651669252164258,0.16983214367174038,104,628,0.11725168035847648,12.076923076923077,0.23033429254895654,706.0,0.003876905504546852,0.9923199128382542,1,104,1.0,0.14323258869908015,0.11294885745375408,0.11821203955285363,0.5454545617103577,0.8945214748382568,0.37606837606837606,0.4523809523809524,0.3904761904761905,0.5104895104895104,0.5454545454545454,0.5025974025974026,0.8061287999153137,1.0973975658416748,0.6000000238418579,78,0.6500000357627869,15,0.00014096175149815865,0.0009413993046829941,0.4861223846483287,64,3,True,layer,mean,52,0.5454545617103577,1.109872579574585,0.1818181818181818,0.3333333333333333,0.2352941176470588,0.29752066115702475,0.5454545454545454,0.38502673796791437,0.6252191662788391,1.0149242877960205,0.6000000238418579,231,0.6000000238418579,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,0.5454545454545454,0.15625405311584473,0.1818181818181818,0.3333333333333333,0.2352941176470588,0.29752066115702475,0.5454545454545454,0.38502673796791437,0.6,15,144,20,8,6,sqrt
4_0,4,0,20250502_181741,9,64,32,0.1018711299894999,0.18303571428571427,0.21632402303655351,0.06778192579442728,2,0.0,3,0.830766932992864,0.9544030927080689,0.22311672507188407,64,224,0.1111111111111111,7.0,0.11214939574314568,46.0,0.0011040706605222733,0.33686890829269145,1,64,1.0,0.19617224880382775,0.10127282789153293,0.3190485516406431,0.4285714626312256,1.205498456954956,0.125,0.1875,0.15,0.2857142857142857,0.42857142857142855,0.34285714285714286,0.044232193380594254,0.3610151708126068,0.9166666865348816,135,0.9166666865348816,15,0.00853618986286683,0.0004138040112561013,0.2523068845866854,32,2,False,batch,sum,98,0.5714285969734192,1.4960200786590576,0.14285714285714285,0.25,0.18181818181818182,0.32653061224489793,0.5714285714285714,0.4155844155844156,0.4149669110774994,0.6799931526184082,0.8333333730697632,300,0.8333333730697632,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,0.5714285714285714,0.17341876029968262,0.14285714285714285,0.25,0.18181818181818182,0.32653061224489793,0.5714285714285714,0.4155844155844156,0.8333333333333334,15,144,20,8,6,sqrt
5_0,5,0,20250502_181809,10,107,32,0.060595332186343484,0.171875,0.23024616842786993,0.07103686346527761,10,0.0,1,0.6477368012014185,0.998167828032233,0.20915180204538653,103,320,0.06091757091185989,6.213592233009709,0.23345652422609048,184.0,0.0010404238596332506,0.8212150678384692,1,103,1.0,0.10912698412698413,0.05580122130974942,0.3233271269521602,0.40909093618392944,1.7785086631774902,0.21428571428571427,0.16307692307692306,0.17566137566137568,0.45129870129870125,0.4090909090909091,0.41510341510341514,0.829605221748352,1.962627649307251,0.6000000238418579,300,0.6000000238418579,15,0.0035503048581283078,0.0007568292060167617,0.5474136752138244,32,1,False,batch,sum,86,0.5,0.2426753044128418,0.11578947368421053,0.16923076923076924,0.1375,0.34210526315789475,0.5,0.40625,0.7584337592124939,1.2630202770233154,0.550000011920929,48,0.550000011920929,15,0.0007309539835912913,3.8234752246751835e-05,0.40592644736118977,128,3,44,0.5909090909090909,0.15506458282470703,0.1181818181818182,0.2,0.14857142857142858,0.3491735537190083,0.5909090909090909,0.438961038961039,0.45,15,144,20,8,6,sqrt
6_0,6,0,20250502_181839,7,104,32,0.1200340813149518,0.2553542009884679,0.18704374855752337,0.05403491508931334,2,0.0,3,0.7950610669511111,0.9651669252164258,0.16983214367174038,104,607,0.11333084391336819,11.673076923076923,0.225320453953162,643.0,0.0035309493476255328,0.7479132616556703,1,104,1.0,0.20367936925098554,0.09836779107725789,0.348659388352741,0.9545454978942871,2.718796730041504,0.4772727272727273,0.5,0.48837209302325585,0.9111570247933884,0.9545454545454546,0.9323467230443975,0.010429289191961288,0.014653745107352734,1.0,300,1.0,15,0.0011207606211860567,7.309539835912905e-05,0.24561457009902096,16,2,True,batch,mean,97,0.9545454978942871,1.5128376483917236,0.4772727272727273,0.5,0.48837209302325585,0.9111570247933884,0.9545454545454546,0.9323467230443975,0.01941162720322609,0.04504527896642685,1.0,300,1.0,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,0.9545454545454546,0.1567676067352295,0.4772727272727273,0.5,0.48837209302325585,0.9111570247933884,0.9545454545454546,0.9323467230443975,1.0,15,144,20,8,6,sqrt
7_0,7,0,20250502_181910,8,142,32,0.09736013099103313,0.3029989658738366,0.05142581348425035,0.06774742791335114,3,0.0,1,0.5410686124309633,0.9027310241701328,0.43023484048540184,142,967,0.09659374687843372,13.619718309859154,0.10140701419063805,430.0,0.0009204161137034975,-0.8137403885814317,1,142,1.0,0.24457429048414023,0.07647793033019404,0.5235794965927271,0.8620689511299133,1.6925437450408936,0.2976190476190476,0.32051282051282054,0.30864197530864196,0.8004926108374385,0.8620689655172413,0.8301404853128991,0.4342203140258789,0.4515647292137146,0.8928571939468384,186,0.8928571939468384,15,0.0011207606211860567,7.309539835912905e-05,0.24561457009902096,16,2,True,batch,mean,97,0.8965517282485962,1.5180442333221436,0.2988505747126437,0.3333333333333333,0.3151515151515151,0.8038049940546967,0.896551724137931,0.8476489028213167,0.28369206190109253,0.43965235352516174,0.8928571939468384,300,0.8928571939468384,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,72,0.896551724137931,0.15462517738342285,0.2988505747126437,0.3333333333333333,0.3151515151515151,0.8038049940546967,0.896551724137931,0.8476489028213167,0.8928571428571429,15,144,20,8,6,sqrt
8_0,8,0,20250502_181937,13,122,32,0.0821029358144296,0.22469982847341338,0.08289132169335423,0.05490686652852447,6,0.0,3,0.9433810006950616,0.8879485251983862,0.6563288984853181,122,583,0.07898658718330849,9.557377049180328,0.26010641109742916,572.0,0.0019374068554396423,0.7018937691626628,1,122,1.0,0.24214417744916822,0.06608187134502924,0.5712116376695201,0.5600000023841858,0.6785907745361328,0.28,0.5,0.358974358974359,0.31360000000000005,0.56,0.40205128205128204,0.6846328377723694,1.0030196905136108,0.625,59,0.7083333730697632,15,0.0011986281799901185,0.00041198396246051877,0.5480456499617467,128,3,True,none,max,52,0.5600000023841858,0.5035932064056396,0.28,0.5,0.358974358974359,0.31360000000000005,0.56,0.40205128205128204,0.011972630396485329,2.445134162902832,0.625,101,0.6666666865348816,15,0.0010677482709481358,0.00015304852121831474,0.12322520635999887,128,3,87,0.56,0.17024827003479004,0.28,0.5,0.358974358974359,0.31360000000000005,0.56,0.40205128205128204,0.625,15,144,20,8,6,sqrt
9_0,9,0,20250502_182011,11,80,32,0.023779279444713985,0.47560975609756095,0.16688511785487092,0.05101388758003154,2,0.0,1,0.7496278681336591,0.8597280391724452,0.563987029942505,69,82,0.03495311167945439,2.3768115942028984,0.0,0.0,0.0,2.1763532686634006,1,69,1.0,0.16595744680851063,0.02036949313121743,0.7813575091416578,0.7333333492279053,3.6912128925323486,0.3522727272727273,0.45833333333333337,0.38405797101449274,0.7606060606060605,0.7333333333333333,0.7400966183574879,0.764707624912262,0.6214014291763306,0.8461538553237915,300,0.8461538553237915,15,0.0005611516415334506,0.0007969454818643932,0.4659969709057026,16,3,False,batch,mean,51,0.8000000715255737,0.39304614067077637,0.26666666666666666,0.3333333333333333,0.29629629629629634,0.6400000000000001,0.8,0.7111111111111111,0.36776304244995117,1.195038914680481,0.7692307829856873,77,0.8461538553237915,15,0.0007309539835912913,3.8234752246751835e-05,0.40592644736118977,128,3,44,0.8,0.15707135200500488,0.26666666666666666,0.3333333333333333,0.29629629629629634,0.6400000000000001,0.8,0.7111111111111111,0.7692307692307693,15,144,20,8,6,sqrt
