,num_communities,num_communities,num_nodes,num_nodes,feature_dim,feature_dim,randomness_factor,randomness_factor,min_connection_strength,min_connection_strength,min_component_size,min_component_size,indirect_influence,indirect_influence,node_count,node_count,edge_count,edge_count,avg_degree,avg_degree,avg_communities_per_node,avg_communities_per_node,clustering_coefficient,clustering_coefficient,triangle_count,triangle_count,triangle_density,triangle_density,homophily,homophily,power_law_exponent,power_law_exponent,density,density,connected_components,connected_components,largest_component_size,largest_component_size
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
homophily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11398963730569948,15.0,,158.0,,32.0,,0.4857,,0.0869,,2.0,,0.0,,158.0,,579.0,,7.3291,,1.0,,0.0618,,91.0,,0.0001,,0.114,,0.159,,0.0467,,1.0,,158.0,
0.11944444444444445,10.0,,96.0,,32.0,,0.932,,0.0675,,7.0,,0.0,,95.0,,360.0,,7.5789,,1.0,,0.2129,,281.0,,0.002,,0.1194,,0.8175,,0.0806,,1.0,,95.0,
0.171875,10.0,,107.0,,32.0,,0.2302,,0.071,,10.0,,0.0,,103.0,,320.0,,6.2136,,1.0,,0.2335,,184.0,,0.001,,0.1719,,0.8212,,0.0609,,1.0,,103.0,
0.1733723482077542,6.0,,137.0,,32.0,,0.641,,0.0306,,7.0,,0.0,,137.0,,1367.0,,19.9562,,1.0,,0.1472,,1306.0,,0.0031,,0.1734,,-0.0245,,0.1467,,1.0,,137.0,
0.1735668789808917,7.0,,104.0,,32.0,,0.187,,0.054,,2.0,,0.0,,104.0,,628.0,,12.0769,,1.0,,0.2303,,706.0,,0.0039,,0.1736,,0.9923,,0.1173,,1.0,,104.0,
0.18303571428571427,9.0,,64.0,,32.0,,0.2163,,0.0678,,2.0,,0.0,,64.0,,224.0,,7.0,,1.0,,0.1121,,46.0,,0.0011,,0.183,,0.3369,,0.1111,,1.0,,64.0,
0.22469982847341338,13.0,,122.0,,32.0,,0.0829,,0.0549,,6.0,,0.0,,122.0,,583.0,,9.5574,,1.0,,0.2601,,572.0,,0.0019,,0.2247,,0.7019,,0.079,,1.0,,122.0,
0.2553542009884679,7.0,,104.0,,32.0,,0.187,,0.054,,2.0,,0.0,,104.0,,607.0,,11.6731,,1.0,,0.2253,,643.0,,0.0035,,0.2554,,0.7479,,0.1133,,1.0,,104.0,
0.3029989658738366,8.0,,142.0,,32.0,,0.0514,,0.0677,,3.0,,0.0,,142.0,,967.0,,13.6197,,1.0,,0.1014,,430.0,,0.0009,,0.303,,-0.8137,,0.0966,,1.0,,142.0,
0.47560975609756095,11.0,,80.0,,32.0,,0.1669,,0.051,,2.0,,0.0,,69.0,,82.0,,2.3768,,1.0,,0.0,,0.0,,0.0,,0.4756,,2.1764,,0.035,,1.0,,69.0,
1.0,7.0,,104.0,,32.0,,0.187,,0.054,,2.0,,0.0,,104.0,,468.0,,9.0,,1.0,,0.7119,,985.0,,0.0054,,1.0,,-0.3783,,0.0874,,7.0,,18.0,
